Zip,Unknown,<20,20-29,30-39,40-49,50-59,60-69,70-79,80+
60461,0,0,0,6,6,15,6,7,0
60462,0,0,40,32,33,55,27,16,22
60463,0,0,8,0,13,15,25,43,80
60464,0,0,0,0,7,11,0,0,0
60465,0,14,15,21,25,44,24,27,18
60466,0,9,40,62,73,131,79,22,6
60467,0,0,13,14,18,22,23,18,29
60468,0,0,0,0,0,6,7,0,0
60469,0,0,12,10,12,0,8,0,0
60471,0,6,8,27,38,43,33,14,7
60472,0,0,8,0,14,14,7,0,0
60473,0,12,22,33,36,49,62,52,50
60475,0,0,8,7,9,14,9,8,0
60476,0,0,0,0,0,0,0,0,0
60477,0,0,33,31,29,39,27,13,15
60478,0,8,23,26,36,44,54,45,36
60480,0,0,0,9,7,0,0,0,0
60481,0,0,0,0,0,6,0,0,0
60482,0,0,11,11,10,23,9,0,0
60484,0,0,14,21,20,23,6,9,6
60487,0,0,17,17,23,20,18,6,0
60490,0,0,16,15,32,32,15,0,0
60491,0,0,13,17,19,27,20,8,0
60501,0,20,55,31,52,27,12,6,0
60502,0,7,15,10,14,18,0,0,0
60503,0,0,7,0,23,0,0,0,0
60504,0,27,44,33,49,44,23,7,10
60505,0,138,267,229,313,233,93,35,17
60506,0,56,123,111,123,125,82,49,63
60510,0,6,13,15,21,7,8,0,0
60513,0,6,18,21,31,25,19,0,10
60514,0,0,11,0,0,9,0,0,0
60515,0,0,8,13,9,13,8,6,15
60516,0,0,11,13,13,14,15,10,13
60517,0,9,18,36,28,38,26,11,0
60520,0,0,0,0,0,0,0,0,0
60521,0,0,6,7,9,22,37,42,45
60523,0,0,0,7,0,9,14,8,42
60525,0,9,23,19,29,33,44,31,30
60526,0,0,9,8,13,0,0,6,18
60527,0,0,17,14,25,28,29,30,52
60532,0,0,10,18,11,18,8,0,20
60534,0,9,23,23,22,20,13,0,0
60538,0,25,36,36,51,36,17,6,0
60540,0,7,17,13,20,9,17,10,0
60541,0,0,0,0,0,0,0,0,0
60542,0,0,18,22,18,11,10,8,12
60543,0,13,19,20,35,34,26,11,28
60544,0,8,12,17,35,33,15,9,0
60545,0,15,13,22,25,23,13,0,0
60546,0,9,18,21,24,19,17,10,0
60548,0,0,12,10,8,8,0,8,0
60551,0,0,0,0,11,0,0,0,0
60552,0,0,0,0,0,0,0,0,0
60554,0,0,0,0,0,10,0,0,0
60555,0,9,12,12,26,21,9,0,0
60558,0,0,7,8,0,6,0,0,0
60559,0,0,23,22,28,39,36,39,66
60560,0,0,12,10,9,15,11,0,0
60561,0,0,10,14,14,18,20,15,0
60563,0,0,21,16,21,18,14,9,32
60564,0,0,14,10,20,23,15,8,15
60565,0,0,12,11,16,19,31,23,38
60585,0,0,8,6,15,24,6,7,0
60586,0,20,43,47,58,63,22,10,0
60601,0,0,20,19,0,7,0,0,6
60602,0,0,0,0,0,0,0,0,0
60603,0,0,0,0,0,0,0,0,0
60604,0,0,0,0,7,0,0,0,0
60605,0,0,26,59,20,16,21,7,0
60606,0,0,8,11,0,10,8,0,0
60607,0,7,49,69,61,96,86,20,7
60608,0,89,249,232,245,258,159,81,31
60609,0,89,228,242,265,211,142,81,40
60610,0,6,55,35,29,25,34,17,10
60611,0,0,20,31,13,19,10,14,9
60612,0,27,96,114,105,103,72,35,10
60613,0,9,54,63,38,45,46,30,43
60614,0,0,71,48,51,42,41,70,110
60615,0,21,36,53,49,65,45,23,30
60616,0,11,30,59,55,64,66,36,34
60617,0,48,115,140,152,155,128,72,58
60618,0,53,169,186,180,164,84,53,40
60619,0,30,70,98,131,162,145,61,63
60620,0,13,93,132,164,202,152,98,77
60621,0,20,63,61,59,84,73,50,35
60622,0,17,70,121,66,81,58,45,55
60623,0,191,423,518,551,488,242,110,43
60624,0,36,95,136,132,113,89,43,24
60625,0,44,162,179,196,169,143,79,90
60626,0,27,98,106,103,129,133,113,73
60628,0,34,84,106,137,182,136,111,77
60629,0,178,483,436,574,417,235,77,30
60630,0,34,108,98,83,101,76,49,59
60631,0,0,31,31,37,46,22,23,36
60632,0,173,383,464,511,440,219,72,67
60633,0,8,30,31,39,47,37,20,11
60634,0,49,148,196,238,225,149,54,33
60636,0,29,87,93,99,95,64,62,37
60637,0,19,85,101,79,87,61,44,31
60638,0,54,138,149,192,140,102,54,62
60639,0,157,435,492,525,428,261,115,45
60640,0,10,57,81,99,112,117,74,103
60641,0,62,178,191,234,196,134,46,17
60642,0,0,15,34,16,13,15,11,17
60643,0,14,56,64,92,128,117,60,79
60644,0,40,125,152,156,150,136,87,91
60645,0,44,144,144,137,156,132,62,75
60646,0,0,26,40,53,45,41,32,58
60647,0,44,151,175,167,179,128,87,75
60649,0,19,64,80,78,99,101,102,88
60651,0,80,218,268,247,209,133,93,20
60652,0,33,96,130,146,123,77,41,38
60653,0,48,35,55,75,72,73,42,32
60654,0,0,22,34,19,24,14,0,0
60655,0,0,40,49,45,38,19,14,14
60656,0,0,35,41,42,44,29,9,7
60657,0,0,61,62,34,31,22,26,41
60659,0,33,96,91,98,94,81,36,48
60660,0,0,38,54,32,80,62,35,10
60661,0,0,14,13,0,0,0,0,0
60706,0,13,36,24,48,41,48,25,38
60707,0,26,77,106,118,141,84,47,32
60712,0,6,11,17,21,16,13,10,44
60714,0,15,59,57,55,68,110,81,165
60803,0,9,26,37,44,42,30,0,0
60804,11,167,368,412,473,435,229,79,32
60805,0,0,17,34,29,20,33,22,31
60827,0,13,50,46,57,61,32,13,8
60901,0,24,70,57,73,64,37,26,38
60911,0,0,0,0,0,0,0,0,0
